round,epoch,method,active_clients,dropped_clients,active_decryptors,dropped_decryptors,label,aggregation_success,failure_reason,replay_attack_enabled,replay_attack_type,replay_detected,max_abs_error,train_loss,test_loss,test_accuracy,enc_time,dk_generate_time,par_dec_time,share_decrypt_time,com_dec_time,combine_decrypt_time,total_crypto_time,secure_pack_size,slot_bits,packing_value_bits,padding_bits,packing_overflow,num_model_params,num_ciphertexts,compression_ratio,pack_block_count,pack_avg_size,pack_max_base,pack_max_qmax,pack_skipped_zero_blocks,round_time
1,1,fedavg,"['f_00001', 'f_00008', 'f_00012', 'f_00013']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],9249f284c83c6b3d3e1d2717adeb508c2608e5387f73168fbce2c70e6cfa8a6d,True,,False,,False,,45.55239713343845,2.9201308268650323,0.1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.647847414016724
2,1,fedavg,"['f_00009', 'f_00012', 'f_00015', 'f_00016']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],f6df0f9d9366085cdba66bc78868db6f0e9522c98fef7fdcd63cdd5f78bd0e7d,True,,False,,False,,4.010152078358232,2.288595100117337,0.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.98526120185852
3,1,fedavg,"['f_00006', 'f_00011', 'f_00015', 'f_00016']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],2bced22de2f923549f79859f6cacd9acbb155786cc7073c0573a7adb05e006d3,True,,False,,False,,3.4140423302817497,1.6335522794419792,0.5783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.684361219406128
4,1,fedavg,"['f_00003', 'f_00004', 'f_00009', 'f_00019']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],59b23f2de3f1a01e225366258516568e11072b3c074907147f7b1f9b75ee243b,True,,False,,False,,2.8404588976483436,2.089774254780666,0.4659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,12.059581995010376
5,1,fedavg,"['f_00004', 'f_00008', 'f_00017', 'f_00019']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],7aaf2e0cfca26bdbf8f239499a8a54e36f00d31bc396e5123f36098d60325a0b,True,,False,,False,,4.45129627008347,1.4389451548552057,0.6088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,12.026071310043335
6,1,fedavg,"['f_00002', 'f_00003', 'f_00009', 'f_00010']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],edf70567441304d3d2ddba9fa5cbdcb2b3ef31a8b3f9f90f23fcafa32d9a8f33,True,,False,,False,,2.656754241627493,2.5855520485313077,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.379390716552734
7,1,fedavg,"['f_00003', 'f_00011', 'f_00015', 'f_00017']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],011041633a86dfc2f0bec99959e07b544e97e476091532b50b510a3e0ece7a4f,True,,False,,False,,2.750183380713129,2.0253532418779505,0.5407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.606915473937988
8,1,fedavg,"['f_00006', 'f_00010', 'f_00013', 'f_00015']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],aa76ed3818bdc386f72d121104358451273f8b49e7d7a80e766f0a0d1bdc9169,True,,False,,False,,3.176753031600053,0.6027310388103412,0.7987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.559086084365845
9,1,fedavg,"['f_00001', 'f_00008', 'f_00014', 'f_00016']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],f03675ee39c41890a58c4da0ab20fe2183f35319ad5eab436eabae37f9059e02,True,,False,,False,,3.3911855237404254,3.0587454236996403,0.3919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,10.874147891998291
10,1,fedavg,"['f_00000', 'f_00002', 'f_00012', 'f_00017']",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],825f9d5b9460df244818aa59129dc3ab4812854db115cca06e4893ceab1af3af,True,,False,,False,,3.0543688564163864,1.3521443051137743,0.6504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,32,0,False,0,0,1.0,0,1.0,0,0,0,12.186068296432495
