round,phase,test_acc,test_loss,forget_acc,forget_loss,remain_acc,remain_loss
30,quickdrop,0.7177,0.817642,0.748151,0.715644,0.775795,0.680648
31,quickdrop,0.7022,0.869329,0.730634,0.771362,0.7436,0.730862
32,quickdrop,0.7061,0.8604,0.740755,0.754821,0.738945,0.747596
33,quickdrop,0.7187,0.832269,0.754379,0.707612,0.764546,0.684405
34,quickdrop,0.7151,0.820312,0.763721,0.677567,0.767649,0.680999
35,quickdrop,0.7276,0.800864,0.77501,0.659534,0.774631,0.666042
36,quickdrop,0.7273,0.799151,0.776956,0.646942,0.762995,0.679575
37,quickdrop,0.7282,0.801093,0.771117,0.647435,0.766098,0.673667
38,quickdrop,0.7265,0.810914,0.768782,0.658654,0.774244,0.652438
39,quickdrop,0.7287,0.797941,0.782795,0.618063,0.772692,0.653451
40,quickdrop,0.7259,0.809844,0.764889,0.653044,0.775795,0.655843
41,quickdrop,0.7332,0.793318,0.783963,0.622922,0.797905,0.60053
42,quickdrop,0.7306,0.796957,0.784741,0.609128,0.785493,0.634156
43,quickdrop,0.7336,0.785183,0.78552,0.602288,0.808379,0.576824
44,quickdrop,0.7071,0.892466,0.746205,0.708357,0.761055,0.676678
45,quickdrop,0.7301,0.807111,0.791359,0.610077,0.787044,0.615576
46,quickdrop,0.726,0.816908,0.786298,0.624806,0.779286,0.642868
47,quickdrop,0.742,0.769845,0.801479,0.576393,0.793251,0.594996
48,quickdrop,0.7382,0.769899,0.799533,0.583534,0.794026,0.600017
49,quickdrop,0.7147,0.857488,0.778513,0.619973,0.757564,0.705523
