round,phase,test_acc,test_loss,forget_acc,forget_loss,remain_acc,remain_loss
0,pretrain,0.2044,2.032403,0,0,0,0
1,pretrain,0.4239,2.586786,0,0,0,0
2,pretrain,0.6216,1.239372,0,0,0,0
3,pretrain,0.6474,0.983994,0,0,0,0
4,pretrain,0.6002,1.482252,0,0,0,0
5,pretrain,0.6262,0.886791,0,0,0,0
6,pretrain,0.6199,1.688569,0,0,0,0
7,pretrain,0.7186,0.833895,0,0,0,0
8,pretrain,0.7383,0.733742,0,0,0,0
9,pretrain,0.8408,0.46396,0,0,0,0
10,pretrain,0.7327,0.717277,0,0,0,0
11,pretrain,0.8257,0.47338,0,0,0,0
12,pretrain,0.83,0.449383,0,0,0,0
13,pretrain,0.6981,0.856953,0,0,0,0
14,pretrain,0.6524,1.208506,0,0,0,0
15,pretrain,0.7646,0.666671,0,0,0,0
16,pretrain,0.8335,0.463738,0,0,0,0
17,pretrain,0.7749,0.564039,0,0,0,0
18,pretrain,0.8222,0.606699,0,0,0,0
19,pretrain,0.7158,0.837241,0,0,0,0
20,pretrain,0.8081,0.560423,0,0,0,0
21,pretrain,0.8572,0.411138,0,0,0,0
22,pretrain,0.744,0.731337,0,0,0,0
23,pretrain,0.8417,0.432738,0,0,0,0
24,pretrain,0.8309,0.49749,0,0,0,0
25,pretrain,0.6785,1.077341,0,0,0,0
26,pretrain,0.7301,0.765388,0,0,0,0
27,pretrain,0.7533,0.723018,0,0,0,0
28,pretrain,0.8036,0.534824,0,0,0,0
29,pretrain,0.8049,0.593188,0,0,0,0
