round,phase,test_acc,test_loss,forget_acc,forget_loss,remain_acc,remain_loss
30,ddfu_client,0.2328,173.425254,0.223589,182.879772,0.236607,196.039647
31,ddfu_client,0.1967,172.222655,0.20152,185.293956,0.199617,196.140297
32,ddfu_client,0.0996,356.267978,0.094428,380.416831,0.102041,400.766995
33,ddfu_client,0.1694,890.669832,0.172214,961.470701,0.154018,1012.219552
34,ddfu_client,0.1,1050.324806,0.095152,1113.037355,0.101722,1178.476967
35,ddfu_client,0.1657,881.486498,0.174023,948.296699,0.166135,995.212465
36,ddfu_client,0.1005,1338.773616,0.103835,1413.24175,0.083227,1522.636902
37,ddfu_client,0.0996,4012.878057,0.103111,4329.777813,0.095982,4611.17316
38,ddfu_client,0.1362,5411.22236,0.141823,5805.005433,0.136798,6174.939986
39,ddfu_client,0.1,7436.727866,0.095152,7974.508192,0.101722,8451.219109
40,ddfu_client,0.1067,3655.942152,0.111795,3896.024017,0.099809,4149.5498
41,ddfu_client,0.1,41864.022627,0.095152,44165.755936,0.101722,47438.438895
42,ddfu_client,0.0386,6415.506965,0.038712,6919.981772,0.036352,7328.735187
43,ddfu_client,0.1864,16474.129199,0.193922,17817.190875,0.168686,18484.620675
44,ddfu_client,0.1,183466.317428,0.103835,195879.219858,0.082908,209290.623406
45,ddfu_client,0.149,32938.993766,0.148698,35101.609706,0.149235,36180.71014
46,ddfu_client,0.1508,883789.7821,0.148698,952225.537717,0.142538,998878.485969
47,ddfu_client,0.1076,789892.4598,0.120839,841341.789252,0.108099,911155.220663
48,ddfu_client,0.0188,146642.436286,0.020622,157670.360528,0.022003,168537.931999
49,ddfu_client,0.0152,192869.263337,0.015919,206878.566706,0.018176,220188.160077
