round,phase,test_acc,test_loss,forget_acc,forget_loss,remain_acc,remain_loss
30,ddfu_sample,0.4471,31.24236,0.454052,33.055235,0.452806,35.434874
31,ddfu_sample,0.1691,36.630812,0.171491,38.599276,0.15625,40.674189
32,ddfu_sample,0.2631,55.489174,0.270984,57.764215,0.237564,60.475008
33,ddfu_sample,0.1,104.311192,0.103473,106.647299,0.094388,108.828018
34,ddfu_sample,0.1,383.401181,0.103473,394.664033,0.094388,409.448286
35,ddfu_sample,0.1,100.485542,0.103473,103.58191,0.094388,105.358222
36,ddfu_sample,0.1,634.267387,0.103473,654.759084,0.094388,684.393256
37,ddfu_sample,0.1,204.268289,0.103473,211.442507,0.094388,215.537676
38,ddfu_sample,0.1,209.772268,0.103473,217.21787,0.094388,228.662308
39,ddfu_sample,0.1,2122.683472,0.103473,2209.809332,0.094388,2264.258331
40,ddfu_sample,0.1,770.387083,0.103473,796.180561,0.094388,841.499023
41,ddfu_sample,0.1,1270.379715,0.103473,1304.187184,0.094388,1355.021737
42,ddfu_sample,0.1,393.630137,0.103473,414.652461,0.094388,422.158567
43,ddfu_sample,0.1,3583.780078,0.103473,3732.990855,0.094388,3963.394915
44,ddfu_sample,0.1,2161.168676,0.103473,2241.7146,0.094388,2300.076346
45,ddfu_sample,0.1,131.499059,0.103473,134.424803,0.094388,137.161066
46,ddfu_sample,0.1,1286.277743,0.103473,1354.108565,0.094388,1412.249043
47,ddfu_sample,0.1,1379.940717,0.103473,1441.164379,0.094388,1492.474639
48,ddfu_sample,0.1,15653.867821,0.103473,16328.185917,0.094388,17240.26427
49,ddfu_sample,0.1,4155.253919,0.103473,4355.826132,0.094388,4525.050139
