round,phase,test_acc,test_loss,forget_acc,forget_loss,remain_acc,remain_loss
30,neurotoxin,0.2348,169.621244,0.226483,179.154452,0.238839,191.941601
31,neurotoxin,0.1451,193.183063,0.15123,207.739131,0.126276,220.1285
32,neurotoxin,0.1098,330.684857,0.111433,353.21876,0.117666,372.428998
33,neurotoxin,0.2259,1318.528372,0.229016,1420.504735,0.215561,1497.212143
34,neurotoxin,0.0986,2536.301268,0.092258,2672.514334,0.09949,2841.65987
35,neurotoxin,0.1643,1974.756808,0.17547,2118.337953,0.155293,2246.931561
36,neurotoxin,0.0443,931.527224,0.042692,978.52131,0.03986,1058.823226
37,neurotoxin,0.1093,2760.410632,0.118307,3020.119829,0.109056,3097.374312
38,neurotoxin,0.1239,2507.4901,0.126266,2678.724301,0.107781,2869.944406
39,neurotoxin,0.0976,20645.943341,0.101664,22186.321463,0.093431,23545.020767
40,neurotoxin,0.0179,5611.821771,0.023878,6101.45923,0.018814,6369.007384
41,neurotoxin,0.0858,3061.222715,0.087554,3271.144769,0.070791,3488.920049
42,neurotoxin,0.2628,35294.873435,0.264834,38588.031126,0.273597,40130.938496
43,neurotoxin,0.1,85446.276278,0.103835,91756.15805,0.082908,96486.520368
44,neurotoxin,0.0505,24548.724884,0.053184,26496.952398,0.052934,28141.498266
45,neurotoxin,0.1111,183761.138186,0.114689,198040.068334,0.09375,211967.425383
46,neurotoxin,0.0324,492154.899463,0.025687,527218.375724,0.028061,563923.829719
47,neurotoxin,0.1,434087.609175,0.108538,461874.498327,0.10236,491382.512117
48,neurotoxin,0.1157,769351.8741,0.116498,833449.020498,0.094388,874231.924107
49,neurotoxin,0.1556,455969.099062,0.160999,484492.347142,0.137755,508796.192602
